,date,map,o_player1,o_player1_agent,o_player2,o_player2_agent,o_player3,o_player3_agent,o_player4,o_player4_agent,o_player5,o_player5_agent,o_team,player1,player1_agent,player2,player2_agent,player3,player3_agent,player4,player4_agent,player5,player5_agent,result,team
4017,26-02-21,Ascent,Dani,brimstone,Morgausse,reyna,Ninja,killjoy,Grego,raze,Kurt,sova,TI,ANDROID,phoenix,eeiu,sova,Shanks,jett,s0m,omen,daps,cypher,Win,NRG
4018,26-02-21,Ascent,AlphaFly,omen,Tyler,jett,Dark3st,reyna,Shane,sova,dashDevv,cypher,ON T,dsr,sova,XXiF,cypher,dawn,jett,FugLy,omen,xCeeD,phoenix,Win,PK
4019,26-02-21,Haven,Dark3st,phoenix,Tyler,jett,Shane,sova,dashDevv,cypher,AlphaFly,omen,ON T,xCeeD,phoenix,dawn,jett,dsr,sova,XXiF,cypher,FugLy,omen,Win,PK
4020,26-02-21,Haven,Kurtis,raze,pwny,jett,intox,phoenix,Stealthy,omen,gmanchew,sova,DT,seb,omen,mada,phoenix,yay,jett,Rebo,cypher,b0i,sova,Lose,ABX
4021,26-02-21,Ascent,intox,reyna,pwny,jett,gmanchew,sova,Stealthy,omen,Kurtis,raze,DT,seb,omen,yay,jett,mada,reyna,Rebo,cypher,b0i,sova,Win,ABX
4022,26-02-21,Icebox,Kurtis,raze,pwny,jett,Stealthy,omen,intox,sage,gmanchew,sova,DT,yay,jett,mada,reyna,b0i,sage,seb,omen,Rebo,sova,Lose,ABX
4023,26-02-21,Icebox,carlos,reyna,ColeUP,killjoy,pureVNS,omen,Jet,jett,witness,sage,SEEK,neptune,raze,POISED,omen,riku,sova,Showtime,jett,anger,sage,Win,RISE
4024,26-02-21,Bind,Jet,raze,witness,sova,carlos,phoenix,pureVNS,omen,ColeUP,skye,SEEK,neptune,raze,anger,cypher,Showtime,jett,POISED,omen,riku,sova,Win,RISE
4025,26-02-21,Haven,Oderus,jett,fiziq,sova,skuba,phoenix,bearkun,cypher,shinobi,omen,NSIC,Zellsis,reyna,PLAYER1,cypher,penny,jett,effys,sova,vanity,omen,Win,V1
4026,26-02-21,Split,Oderus,jett,bearkun,killjoy,fiziq,breach,skuba,sage,shinobi,omen,NSIC,Zellsis,raze,penny,jett,PLAYER1,killjoy,effys,breach,vanity,omen,Win,V1
4027,26-02-21,Icebox,brawk,sova,ohai,sage,JonahP,jett,agM,killjoy,valyn,omen,COL,Kanpeki,jett,Rustun,killjoy,HIA,sage,Trill,brimstone,figment,sova,Win,SUP
4028,26-02-21,Split,ohai,raze,brawk,breach,agM,cypher,valyn,omen,JonahP,jett,COL,HIA,raze,Kanpeki,jett,Trill,omen,figment,sage,Rustun,killjoy,Win,SUP
4029,26-02-21,Bind,hyun,raze,MoonBlue,sova,CLINT,cypher,Hazard,jett,Scrounge,omen,PS,Subroza,omen,WARDELL,jett,hazed,killjoy,Drone,raze,reltuC,skye,Win,TSM
4030,26-02-21,Ascent,CLINT,cypher,Hazard,jett,Scrounge,omen,MoonBlue,sova,hyun,breach,PS,WARDELL,jett,hazed,killjoy,reltuC,sova,Drone,phoenix,Subroza,omen,Win,TSM
4031,25-02-21,Icebox,Bewd,sage,Jaomock,omen,zill,jett,pao,raze,traekS,sova,BLAH,Campion,jett,Kayros,sage,Cdubstah,sova,HiepHop,reyna,Cade3k,omen,Lose,ELYS
4032,25-02-21,Ascent,Bewd,cypher,pao,reyna,zill,jett,Jaomock,omen,traekS,sova,BLAH,Campion,jett,Kayros,cypher,Cade3k,omen,Cdubstah,sova,HiepHop,phoenix,Win,ELYS
4033,25-02-21,Bind,zill,jett,traekS,sova,Jaomock,omen,Bewd,cypher,pao,raze,BLAH,Campion,jett,Cade3k,omen,Kayros,cypher,HiepHop,raze,Cdubstah,sova,Win,ELYS
4034,25-02-21,Icebox,smL,viper,VolcaN,jett,Swifts,reyna,Arec,sage,0uate,sova,AE,Ninja,killjoy,Grego,raze,Kurt,sova,Dani,brimstone,Morgausse,sage,Win,TI
4035,25-02-21,Bind,VolcaN,raze,0uate,sova,Swifts,phoenix,smL,omen,Arec,cypher,AE,Ninja,cypher,Kurt,sova,Dani,brimstone,Grego,raze,Morgausse,reyna,Win,TI
4036,25-02-21,Ascent,SH4D3,jett,dip,sova,benjii,cypher,Dynasty,reyna,Rano,omen,TLP,Subroza,omen,hazed,killjoy,WARDELL,jett,Drone,phoenix,reltuC,sova,Win,TSM
4037,25-02-21,Icebox,benjii,killjoy,dip,reyna,SH4D3,jett,Dynasty,sova,Rano,omen,TLP,Drone,raze,hazed,killjoy,reltuC,sova,Subroza,omen,WARDELL,jett,Win,TSM
4038,14-03-21,Haven,BerserX,jett,tehbotoL,sage,FrizzNatsz,skye,3nable,omen,Lmemore,killjoy,AE,Asteriskk,omen,Eeyore,cypher,adrnking,jett,blaZek1ng,skye,NcSlasher,raze,Win,BME
4039,14-03-21,Ascent,tehbotoL,phoenix,BerserX,jett,FrizzNatsz,sova,3nable,omen,Lmemore,cypher,AE,Eeyore,killjoy,blaZek1ng,sova,Asteriskk,omen,NcSlasher,raze,adrnking,jett,Win,BME
4040,14-03-21,Bind,FrizzNatsz,sova,tehbotoL,jett,BerserX,raze,Lmemore,cypher,3nable,omen,AE,Eeyore,cypher,NcSlasher,raze,adrnking,phoenix,blaZek1ng,sova,Asteriskk,brimstone,Win,BME
4041,14-03-21,Ascent,Famouz,raze,Nay,reyna,Fidelwow,sova,xø,killjoy,Fat Penguin,omen,BTR,heyNF,raze,SEVERiNE,killjoy,RIZKYMD,omen,Shiro,sova,Rapheleen,phoenix,Lose,ONIC
4042,14-03-21,Split,Fidelwow,breach,Fat Penguin,omen,Nay,jett,Famouz,sage,xø,killjoy,BTR,Shiro,jett,RIZKYMD,omen,SEVERiNE,killjoy,Rapheleen,sage,heyNF,raze,Win,ONIC
4043,14-03-21,Haven,Fidelwow,killjoy,Famouz,raze,Fat Penguin,omen,Nay,reyna,xø,sova,BTR,SEVERiNE,killjoy,RIZKYMD,omen,Rapheleen,phoenix,Shiro,sova,heyNF,jett,Win,ONIC
4044,13-03-21,Bind,BerserX,raze,FrizzNatsz,sova,tehbotoL,jett,Lmemore,cypher,3nable,omen,AE,Famouz,sova,xø,killjoy,Fat Penguin,brimstone,Nay,raze,Fidelwow,sage,Lose,BTR
4045,13-03-21,Haven,Lmemore,killjoy,FrizzNatsz,skye,3nable,omen,tehbotoL,sage,BerserX,jett,AE,Famouz,sova,Nay,raze,xø,killjoy,Fidelwow,skye,Fat Penguin,omen,Lose,BTR
4046,13-03-21,Ascent,Shiro,sova,RIZKYMD,omen,SEVERiNE,killjoy,heyNF,raze,Rapheleen,phoenix,ONIC,NcSlasher,raze,blaZek1ng,sova,Eeyore,killjoy,adrnking,jett,Asteriskk,omen,Win,BME
4047,13-03-21,Bind,Rapheleen,raze,Shiro,sova,heyNF,killjoy,SEVERiNE,phoenix,RIZKYMD,omen,ONIC,NcSlasher,raze,adrnking,phoenix,Asteriskk,brimstone,blaZek1ng,sova,Eeyore,cypher,Win,BME
4048,13-03-21,Bind,DHITO,sova,ATOMIC,cypher,haydeNN,sage,Revzzy,jett,AQUA,brimstone,EX-A,BerserX,raze,3nable,omen,Lmemore,cypher,FrizzNatsz,sova,tehbotoL,jett,Win,AE
4049,13-03-21,Split,Revzzy,jett,DHITO,raze,ATOMIC,cypher,haydeNN,sage,AQUA,omen,EX-A,tehbotoL,jett,Lmemore,cypher,BerserX,raze,FrizzNatsz,skye,3nable,omen,Win,AE
4050,12-03-21,Haven,Fidelwow,jett,Famouz,sova,Nay,raze,Fat Penguin,omen,xø,killjoy,BTR,Flynch,omen,krozera,jett,frostmind,killjoy,roseaufy,sova,FireZs,skye,Lose,XCN
4051,12-03-21,Ascent,Famouz,sova,Nay,jett,Fat Penguin,omen,xø,killjoy,Fidelwow,breach,BTR,FireZs,reyna,roseaufy,sova,frostmind,cypher,krozera,jett,Flynch,omen,Lose,XCN
4052,12-03-21,Ascent,xray,sova,Cartier,jett,zoomey,phoenix,Maht,omen,renZ,cypher,AR,Asteriskk,omen,adrnking,jett,blaZek1ng,sova,Eeyore,killjoy,NcSlasher,raze,Win,BME
4053,12-03-21,Split,Cartier,jett,xray,sage,zoomey,phoenix,Maht,cypher,renZ,omen,AR,NcSlasher,raze,blaZek1ng,omen,Eeyore,killjoy,adrnking,jett,Asteriskk,sage,Win,BME
